Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month
2022-09-30,Riverside,CA,Passenger,7.0,0.0,7.0,460.0,467.0,1.5,2022,9
2022-12-31,Prince William,VA,Passenger,1.0,2.0,3.0,188.0,191.0,1.57,2022,12
2020-01-31,Dakota,MN,Passenger,0.0,1.0,1.0,32.0,33.0,3.03,2020,1
2022-06-30,Ferry,WA,Truck,0.0,0.0,0.0,3575.0,3575.0,0.0,2022,6
2021-07-31,Douglas,CO,Passenger,0.0,1.0,1.0,83.0,84.0,1.19,2021,7
2018-05-31,Maui,HI,Passenger,1.0,0.0,1.0,59.0,60.0,1.67,2018,5
2017-11-30,Northampton,PA,Passenger,0.0,1.0,1.0,66.0,67.0,1.49,2017,11
2018-03-31,Nassau,NY,Passenger,1.0,0.0,1.0,37.0,38.0,2.63,2018,3
2020-03-31,DeKalb,IN,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2020,3
2019-01-31,Columbia,WA,Truck,0.0,0.0,0.0,1529.0,1529.0,0.0,2019,1
2017-02-28,Maui,HI,Passenger,1.0,0.0,1.0,73.0,74.0,1.35,2017,2
2017-09-30,Orleans,LA,Passenger,0.0,1.0,1.0,45.0,46.0,2.17,2017,9
2018-12-31,Ramsey,MN,Passenger,1.0,0.0,1.0,41.0,42.0,2.38,2018,12
2020-11-30,Manassas,VA,Passenger,0.0,1.0,1.0,5.0,6.0,16.67,2020,11
2020-02-29,Montgomery,AL,Passenger,0.0,1.0,1.0,38.0,39.0,2.56,2020,2
2019-08-31,Albemarle,VA,Passenger,1.0,0.0,1.0,23.0,24.0,4.17,2019,8
2020-05-31,Monroe,IL,Passenger,1.0,0.0,1.0,3.0,4.0,25.0,2020,5
2021-12-31,San Diego,CA,Passenger,17.0,6.0,23.0,2541.0,2564.0,0.9,2021,12
2021-06-30,Skamania,WA,Truck,0.0,0.0,0.0,4026.0,4026.0,0.0,2021,6
2017-01-31,Douglas,WA,Truck,0.0,0.0,0.0,11425.0,11425.0,0.0,2017,1
2022-10-31,Washington,OR,Passenger,1.0,0.0,1.0,296.0,297.0,0.34,2022,10
2022-12-31,Sarpy,NE,Passenger,1.0,0.0,1.0,57.0,58.0,1.72,2022,12
2020-02-29,Owyhee,ID,Passenger,1.0,0.0,1.0,3.0,4.0,25.0,2020,2
2022-06-30,Clinton,PA,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2022,6
2022-05-31,Yakima,WA,Truck,0.0,0.0,0.0,61408.0,61408.0,0.0,2022,5
2017-10-31,Virginia Beach,VA,Passenger,2.0,1.0,3.0,651.0,654.0,0.46,2017,10
2020-05-31,Sedgwick,KS,Passenger,1.0,1.0,2.0,96.0,98.0,2.04,2020,5
2021-09-30,Kittitas,WA,Truck,0.0,0.0,0.0,14783.0,14783.0,0.0,2021,9
2021-04-30,Asotin,WA,Passenger,19.0,14.0,33.0,12651.0,12684.0,0.26,2021,4
2021-06-30,San Francisco,CA,Passenger,0.0,1.0,1.0,100.0,101.0,0.99,2021,6
2017-06-30,Charles,MD,Passenger,0.0,1.0,1.0,89.0,90.0,1.11,2017,6
2022-06-30,Richmond,NY,Passenger,1.0,0.0,1.0,4.0,5.0,20.0,2022,6
2022-01-31,Carson City,NV,Passenger,1.0,0.0,1.0,9.0,10.0,10.0,2022,1
2020-07-31,Santa Clara,CA,Passenger,9.0,2.0,11.0,300.0,311.0,3.54,2020,7
2021-06-30,Harris,TX,Passenger,1.0,1.0,2.0,223.0,225.0,0.89,2021,6
2021-11-30,King,WA,Truck,6.0,1.0,7.0,183257.0,183264.0,0.0,2021,11
2021-04-30,Suffolk,VA,Passenger,1.0,0.0,1.0,125.0,126.0,0.79,2021,4
2022-02-28,Clallam,WA,Truck,1.0,0.0,1.0,22088.0,22089.0,0.0,2022,2
2019-06-30,Clay,FL,Passenger,0.0,1.0,1.0,88.0,89.0,1.12,2019,6
2019-03-31,El Paso,TX,Passenger,2.0,0.0,2.0,495.0,497.0,0.4,2019,3
2019-07-31,Montgomery,MD,Passenger,1.0,0.0,1.0,283.0,284.0,0.35,2019,7
2023-08-31,Harford,MD,Passenger,1.0,1.0,2.0,42.0,44.0,4.55,2023,8
2020-10-31,Franklin,WA,Passenger,73.0,78.0,151.0,61083.0,61234.0,0.25,2020,10
2022-05-31,Burlington,NJ,Passenger,0.0,2.0,2.0,112.0,114.0,1.75,2022,5
2022-05-31,Kings,NY,Passenger,1.0,0.0,1.0,62.0,63.0,1.59,2022,5
2023-06-30,Washtenaw,MI,Passenger,0.0,2.0,2.0,21.0,23.0,8.7,2023,6
2020-04-30,Manassas,VA,Passenger,0.0,1.0,1.0,5.0,6.0,16.67,2020,4
2021-12-31,Whatcom,WA,Passenger,1643.0,673.0,2316.0,149887.0,152203.0,1.52,2021,12
2023-09-30,Whitman,WA,Passenger,177.0,86.0,263.0,21953.0,22216.0,1.18,2023,9
2021-03-31,Stevens,WA,Passenger,38.0,43.0,81.0,30298.0,30379.0,0.27,2021,3
2019-04-30,Douglas,WA,Passenger,55.0,34.0,89.0,27968.0,28057.0,0.32,2019,4
2018-01-31,Benton,WA,Passenger,175.0,179.0,354.0,130615.0,130969.0,0.27,2018,1
2020-05-31,Kern,CA,Passenger,0.0,1.0,1.0,228.0,229.0,0.44,2020,5
2021-10-31,Kittitas,WA,Truck,0.0,0.0,0.0,14774.0,14774.0,0.0,2021,10
2021-12-31,Grant,WA,Truck,0.0,0.0,0.0,27988.0,27988.0,0.0,2021,12
2020-06-30,Nueces,TX,Passenger,1.0,0.0,1.0,80.0,81.0,1.23,2020,6
2023-09-30,Kings,CA,Passenger,2.0,2.0,4.0,264.0,268.0,1.49,2023,9
2017-04-30,Jackson,MO,Passenger,1.0,0.0,1.0,70.0,71.0,1.41,2017,4
2023-04-30,Polk,OR,Passenger,1.0,1.0,2.0,15.0,17.0,11.76,2023,4
2019-08-31,Powhatan,VA,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2019,8
2019-02-28,Anne Arundel,MD,Passenger,0.0,1.0,1.0,441.0,442.0,0.23,2019,2
2022-03-31,Pacific,WA,Passenger,61.0,68.0,129.0,15987.0,16116.0,0.8,2022,3
2019-02-28,San Mateo,CA,Passenger,2.0,1.0,3.0,131.0,134.0,2.24,2019,2
2021-04-30,Ventura,CA,Passenger,1.0,2.0,3.0,276.0,279.0,1.08,2021,4
2021-01-31,Klamath,OR,Passenger,1.0,0.0,1.0,33.0,34.0,2.94,2021,1
2018-06-30,Hamilton,IN,Passenger,1.0,0.0,1.0,46.0,47.0,2.13,2018,6
2023-03-31,Meade,KY,Passenger,1.0,0.0,1.0,18.0,19.0,5.26,2023,3
2024-01-31,Placer,CA,Passenger,1.0,0.0,1.0,51.0,52.0,1.92,2024,1
2020-09-30,Larimer,CO,Passenger,1.0,0.0,1.0,50.0,51.0,1.96,2020,9
2017-03-31,Clallam,WA,Passenger,77.0,65.0,142.0,48077.0,48219.0,0.29,2017,3
2023-12-31,Clallam,WA,Truck,29.0,0.0,29.0,21315.0,21344.0,0.14,2023,12
2017-12-31,Kittitas,WA,Truck,0.0,0.0,0.0,13805.0,13805.0,0.0,2017,12
2019-11-30,Fairbanks North Star,AK,Passenger,0.0,1.0,1.0,97.0,98.0,1.02,2019,11
2022-07-31,Clark,WA,Truck,9.0,0.0,9.0,82497.0,82506.0,0.01,2022,7
2018-12-31,Bexar,TX,Passenger,3.0,4.0,7.0,717.0,724.0,0.97,2018,12
2018-04-30,Manatee,FL,Passenger,1.0,0.0,1.0,38.0,39.0,2.56,2018,4
2023-07-31,Washtenaw,MI,Passenger,0.0,2.0,2.0,20.0,22.0,9.09,2023,7
